Campaign ,Name,fips,Hometown,Pop,Pop.Pct,County,Pop.Dense
Operation Enduring Freedom,Pfc. Ryan J. Larson,55001,Friendship,20348,0.003499828,Adams,29.9
,,55003,,15600,0.002683179,Ashland,7
Operation Iraqi Freedom,Spc. Paul J. Sturino,55005,Rice Lake,45164,0.007768146,Barron,51.4
Operation Iraqi Freedom,Lance Cpl. Andrew G. Matus,55005,Chetek,45164,0.007768146,Barron,51.4
,,55007,,15042,0.002587203,Bayfield,7.4
Operation Enduring Freedom,Cpl. Justin D. Ross,55009,Green Bay ,263378,0.045300654,Brown,410.4
Operation Enduring Freedom,Sgt. Paul J. Atim,55009,Green Bay ,263378,0.045300654,Brown,410.4
Operation Iraqi Freedom,Pfc. Isaiah R. Hunt,55009,Green Bay ,263378,0.045300654,Brown,410.4
Operation Iraqi Freedom,Sgt. Benjamin C. Edinger,55009,Green Bay ,263378,0.045300654,Brown,410.4
,,55013,,13125,0.002257482,Burnet,17.5
Operation Iraqi Freedom,Sgt. Andrew L. Bossert,55011,Fountain City,15392,0.002647403,Buffalo,18.8
Operation Iraqi Freedom,Sgt. Earl D. Werner,55011,Mondovi,15392,0.002647403,Buffalo,18.8
Operation Enduring Freedom,Pfc. Kyle M. Hemauer,55015,Chillton,50159,0.008627279,Calumet,124.7
Operation Iraqi Freedom,2nd Lt. Tracy Lynn Alger,55017,New Auburn,64135,0.011031132,Chippewa,60.6
Operation Iraqi Freedom,Staff Sgt. Todd D. Olson,55019,Loyal,34709,0.0059699,Clark,28.4
Operation Iraqi Freedom,Capt. John F. Kurth,55021,Columbus,57358,0.009865497,Columbia,71.2
,,55023,,16291,0.00280203,Crawford,27.6
Operation Enduring Freedom,Spc. Robert J. Cook,55025,Sun Prairie,542364,0.093285862,Dane,406.2
Operation Enduring Freedom,Sgt. Daniel J. Thompson,55025,Madison,542364,0.093285862,Dane,406.2
Operation Iraqi Freedom, Lance Cpl. Shane K. O’Donnell,55025,DeForest,542364,0.093285862,Dane,406.2
Operation Iraqi Freedom,Chief Warrant Officer 2 Joshua Michael Scott,55025,Sun Prairie,542364,0.093285862,Dane,406.2
Operation Iraqi Freedom,Staff Sgt. Chad J. Simon,55025,Madison,542364,0.093285862,Dane,406.2
Operation Iraqi Freedom,Sgt. 1st Class Matthew R. Kading,55025,Madison,542364,0.093285862,Dane,406.2
Operation Iraqi Freedom,Cpl. Rachael L. Hugo,55025,Madison,542364,0.093285862,Dane,406.2
Operation Iraqi Freedom,Sgt. Mark A. Maida,55025,Madison,542364,0.093285862,Dane,406.2
Operation Enduring Freedom,Pfc. Jacob A. Gassen,55027,Beaver Dam,87847,0.015109563,Dodge,97.7
Operation Enduring Freedom,1st Lt. David A. Johnson,55027,Horicon,87847,0.015109563,Dodge,97.7
Operation Iraqi Freedom,Sgt. Kirk Allen Straseskie,55027,Beaver Dam,87847,0.015109563,Dodge,97.7
Operation Iraqi Freedom,Pfc. Ryan J. Cantafio,55027,Beaver Dam,87847,0.015109563,Dodge,97.7
Operation Iraqi Freedom,Spc. Michael J. Wendling,55027,Mayville,87847,0.015109563,Dodge,97.7
Operation Iraqi Freedom,Sgt. Louis A. Griese,55029,Sturgeon Bay,27610,0.004748882,Door,11.7
Operation Iraqi Freedom,Lance Cpl. Adam J. Vanalstine,55031,Superior,43208,0.007431717,Douglas,29.7
Operation Iraqi Freedom,Cpl. Kenneth M. Cross,55031,Superior,43208,0.007431717,Douglas,29.7
Operation Iraqi Freedom,Sgt. 1st Class Matthew I. Pionk,55031,Superior,43208,0.007431717,Douglas,29.7
Operation Iraqi Freedom,2nd Lt. Jeremy L. Wolfe,55033,Colfax,45131,0.00776247,Dunn,51
Operation Iraqi Freedom,Spc. Charles A. Kaufman,55035,Fairchild,104534,0.017979704,Eau Claire,155.9
Operation Iraqi Freedom,Lance Cpl. Eric A. Palmisano,55037,Florence,4321,0.000743206,Florence,9
Operation Iraqi Freedom,Pfc. Rachel K. Bosveld,55039,Waupun,103066,0.01772721,Fond du Lac,132.8
Operation Iraqi Freedom,Spc. John O. Tollefson,55039,Fond du Lac,103066,0.01772721,Fond du Lac,132.8
Operation Iraqi Freedom,Capt. Derek A. Dobogai,55039,Fond du Lac,103066,0.01772721,Fond du Lac,132.8
,,55041,,8991,0.00154644,Forest,8.8
Operation Enduring Freedom,Staff Sgt. Jesse J. Grindey,55043,Hazel Green,51554,0.008867217,Grant,43.3
Operation Iraqi Freedom,Maj. Christopher J. Splinter,55043,Platteville,51554,0.008867217,Grant,43.3
Operation Iraqi Freedom,Pfc. Andrew Halverson,55043,Grant,51554,0.008867217,Grant,43.3
,,55045,,36929,0.006351737,Green,63.3
,,55047,,18918,0.00325387,Green Lake,50
,,55049,,23771,0.004088579,Iowa,30.9
,,55051,,5676,0.000976264,Iron,6.4
,,55053,,20478,0.003522188,Jackson,20.5
Operation Enduring Freedom,Lance Cpl. Jacob A. Meinert,55055,Fort Atkinson,85129,0.014642071,Jefferson,144.5
Operation Enduring Freedom,Lt. Col. Paul R. Bartz,55055,Waterloo,85129,0.014642071,Jefferson,144.5
Operation Iraqi Freedom,Sgt. Nathan J. Vacho,55055,Janesville,85129,0.014642071,Jefferson,144.5
Operation Iraqi Freedom,Cpl. Matthew R. Zindars,55055,Watertown,85129,0.014642071,Jefferson,144.5
,,55057,,26617,0.004578087,Juneau,33.1
Operation Enduring Freedom,Pfc. Donnell A. Hamilton Jr.,55059,Kenosha,169290,0.029117647,Kenosha,221.8
Operation Iraqi Freedom,Pfc. Eric D. Clark,55059,Pleasant Prairie,169290,0.029117647,Kenosha,221.8
Operation Iraqi Freedom,Staff Sgt. Robert J. Basham,55059,Kenosha,169290,0.029117647,Kenosha,221.8
Operation Iraqi Freedom,Pfc. Timothy R. Hanson,55059,Kenosha,169290,0.029117647,Kenosha,221.8
Operation Iraqi Freedom,Spc. Robert M. Rieckhoff,55059,Kenosha,169290,0.029117647,Kenosha,221.8
Operation Iraqi Freedom,Cpl. Jesse L. Thiry,55061,Casco,20383,0.003505848,Kewaunee,18.9
Operation Iraqi Freedom,Sgt. Luke J. Zimmerman,55061,Luxemburg,20383,0.003505848,Kewaunee,18.9
Operation Enduring Freedom,Senior Airman Adam P. Servais,55063,Onalaska,118230,0.020335397,La Crosse,242.7
Operation Enduring Freedom,1st Lt. Nick A. Dewhirst,55063,Onalaska,118230,0.020335397,La Crosse,242.7
Operation Enduring Freedom,Sgt. Jakob J. Roelli,55065,Darlington,16665,0.002866357,Lafayette,26.5
,,55067,,19268,0.003314069,Langlade,22.2
